"Ticker","Sector","Market Cap","Return on Equity","LT Debt/Equity","Gross Margin","Operating Margin","Profit Margin","Performance (Quarter)","Performance (Half Year)","Performance (Year)"
"A","Healthcare",15296.15,11.50%,0.38,52.00%,14.30%,11.70%,2.76%,19.86%,32.94%
"AA","Basic Materials",13324.80,-4.70%,0.67,18.20%,1.80%,-2.70%,3.25%,1.48%,7.27%
"AAL","Services",19204.19,143.90%,4.90,36.20%,15.30%,16.50%,17.21%,-12.78%,-9.70%
"AAP","Services",11691.37,17.80%,0.43,45.00%,8.30%,4.80%,5.59%,4.73%,-8.33%
"AAPL","Consumer Goods",586380.66,37.90%,0.54,39.50%,28.50%,21.70%,9.82%,6.97%,-0.31%
"ABBV","Healthcare",104275.80,119.80%,6.62,78.60%,35.00%,23.10%,2.97%,15.79%,8.15%
"ABC","Services",20732.02,109.80%,2.02,2.90%,1.20%,1.10%,14.81%,0.08%,-11.17%
"ABT","Healthcare",62180.82,10.90%,0.29,56.90%,14.00%,11.10%,8.12%,8.75%,-2.30%
"ACN","Technology",74866.72,58.20%,0.00,29.60%,15.40%,11.10%,-3.29%,14.05%,23.46%
"ADBE","Technology",51782.31,12.70%,0.26,85.10%,22.40%,16.90%,4.49%,21.69%,32.24%
"ADI","Technology",19389.58,13.30%,0.35,64.80%,23.00%,19.50%,11.35%,13.35%,17.78%
"ADM","Consumer Goods",25097.47,8.30%,0.31,5.60%,2.10%,2.40%,1.03%,19.75%,3.35%
"ADP","Technology",41343.48,33.50%,0.45,43.20%,19.00%,12.80%,3.71%,6.30%,19.48%
"ADS","Services",12302.24,26.20%,5.44,41.40%,19.50%,7.20%,-7.31%,-4.57%,-18.25%
"ADSK","Technology",15179.83,-23.00%,1.12,84.30%,-10.50%,-15.20%,15.92%,16.92%,48.04%
"AEE","Utilities",12047.52,9.00%,0.95,85.50%,21.80%,10.40%,0.24%,6.27%,31.44%
"AEP","Utilities",31670.76,11.00%,0.95,82.50%,19.90%,12.50%,0.13%,4.92%,26.75%
"AES","Utilities",8059.57,-8.20%,6.93,18.20%,4.10%,-1.90%,8.34%,14.42%,11.24%
"AET","Healthcare",40995.58,14.50%,1.13,,7.60%,3.90%,-4.34%,6.88%,2.27%
"AFL","Financial",30255.25,13.30%,0.22,,19.50%,12.00%,7.29%,23.62%,31.86%
"AGN","Healthcare",94140.96,5.70%,0.52,78.70%,-16.50%,27.00%,-4.55%,-18.18%,-20.67%
"AIG","Financial",63607.84,-0.40%,0.37,,1.20%,-0.60%,5.08%,15.03%,2.83%
"AIV","Financial",7165.10,22.20%,2.35,64.40%,26.00%,33.40%,15.95%,20.57%,32.79%
"AIZ","Financial",5616.99,9.80%,0.25,,7.80%,5.00%,7.17%,24.28%,26.45%
"AKAM","Technology",9621.89,10.40%,0.20,65.80%,20.40%,14.30%,1.47%,0.00%,-24.47%
"ALB","Basic Materials",9207.30,4.70%,0.96,35.70%,21.10%,4.80%,1.62%,40.62%,95.37%
"ALK","Services",8406.88,36.90%,0.19,46.30%,24.40%,15.90%,5.04%,-10.90%,-11.33%
"ALL","Financial",25759.72,8.30%,0.27,,6.60%,4.20%,2.46%,7.07%,21.29%
"ALLE","Services",6934.96,311.90%,10.32,43.80%,13.50%,9.10%,6.80%,14.44%,21.91%
"ALXN","Healthcare",28172.03,1.10%,0.39,91.80%,21.70%,3.20%,-20.21%,-17.33%,-29.44%
"AMAT","Technology",32740.41,20.60%,0.49,41.10%,18.20%,14.60%,24.63%,55.64%,94.11%
"AME","Industrial Goods",11337.43,17.10%,0.46,35.90%,22.40%,14.50%,2.10%,2.44%,-6.22%
"AMG","Financial",7532.33,17.20%,0.73,,33.40%,21.10%,-19.96%,-7.34%,-20.90%
"AMGN","Healthcare",127319.01,25.90%,0.93,81.40%,40.70%,33.10%,6.60%,16.68%,16.57%
"AMP","Financial",17016.81,20.00%,0.73,47.40%,18.20%,12.50%,-0.10%,14.45%,-4.94%
"AMT","Financial",48428.72,10.30%,2.72,70.80%,32.10%,13.20%,7.89%,21.57%,29.02%
"AMZN","Services",365333.22,13.50%,0.50,34.40%,3.20%,1.60%,6.29%,37.25%,53.04%
"AN","Services",4902.30,19.10%,0.81,15.60%,4.10%,2.00%,-1.43%,-8.48%,-16.47%
"ANTM","Healthcare",32675.12,9.90%,0.59,,6.10%,2.80%,-5.73%,-5.81%,-11.44%
"AON","Financial",29574.22,25.80%,1.11,,17.10%,12.70%,2.77%,13.77%,24.16%
"APA","Basic Materials",19438.91,-200.80%,1.22,68.50%,,,-7.36%,1.45%,21.30%
"APC","Basic Materials",28809.90,-41.80%,1.39,74.70%,-82.00%,-71.10%,6.02%,25.38%,-17.85%
"APD","Basic Materials",34025.69,8.10%,0.56,32.20%,21.20%,6.10%,8.60%,17.80%,15.36%
"APH","Technology",19287.16,23.10%,0.80,31.90%,19.10%,13.00%,5.58%,10.85%,21.62%
"ATVI","Technology",31252.99,9.00%,0.58,63.40%,21.20%,13.80%,13.35%,39.28%,50.87%
"AVB","Financial",24141.54,8.10%,0.69,66.40%,30.20%,40.40%,3.87%,-1.17%,10.74%
"AVGO","Technology",70042.04,-2.50%,0.74,43.90%,2.60%,-2.40%,6.64%,21.41%,41.65%
"AVY","Consumer Goods",6962.27,31.30%,1.01,27.80%,7.20%,5.20%,3.36%,16.27%,37.73%
"AWK","Utilities",13314.40,9.60%,1.14,,34.00%,15.10%,-0.90%,12.16%,46.27%
"AXP","Financial",61148.22,26.30%,2.45,71.80%,24.90%,15.90%,-0.64%,11.59%,-11.81%
"AYI","Technology",12028.60,18.20%,0.22,43.40%,14.50%,8.60%,8.76%,27.40%,40.15%
"AZO","Services",21770.25,-68.60%,,52.60%,19.20%,11.50%,-2.17%,-4.05%,1.36%
"BA","Industrial Goods",83457.11,83.90%,16.83,13.60%,5.30%,3.80%,0.26%,8.48%,3.34%
"BAC","Financial",164057.12,5.30%,0.88,,71.00%,26.10%,10.71%,19.21%,1.86%
"BAX","Healthcare",25361.44,56.10%,0.25,39.00%,-13.50%,47.70%,5.55%,16.90%,26.38%
"BBBY","Services",7088.32,31.50%,0.59,38.00%,11.20%,6.70%,2.20%,-11.07%,-25.64%
"BBT","Financial",31340.91,8.20%,0.92,,81.30%,30.00%,5.48%,13.87%,8.91%
"BBY","Services",12489.90,23.20%,0.31,23.50%,4.20%,2.60%,24.84%,16.41%,10.39%
"BCR","Healthcare",16270.00,21.40%,1.01,62.50%,14.10%,9.10%,-0.03%,14.25%,16.76%
"BDX","Healthcare",37692.91,15.10%,1.31,43.50%,13.20%,9.20%,4.72%,20.26%,32.11%
"BEN","Financial",20659.73,13.60%,0.18,,36.20%,23.30%,1.57%,-4.98%,-7.41%
"BF-B","Consumer Goods",19381.77,74.00%,1.47,69.00%,49.80%,34.60%,-1.63%,-0.65%,0.14%
"BHI","Basic Materials",21322.27,-19.60%,0.21,-0.50%,-22.40%,-25.10%,0.89%,7.66%,-7.88%
"BIIB","Healthcare",68707.57,36.60%,0.57,88.20%,47.90%,34.00%,8.19%,16.35%,3.97%
"BK","Financial",44276.45,8.50%,0.65,,83.80%,88.40%,-1.27%,10.10%,7.93%
"BLK","Financial",60545.01,11.10%,0.17,89.10%,40.10%,28.10%,3.89%,15.85%,27.72%
"BLL","Consumer Goods",13912.24,17.60%,2.21,20.20%,4.90%,4.00%,8.74%,20.34%,22.72%
"BMY","Healthcare",94838.17,19.60%,0.44,75.70%,20.80%,16.30%,-23.75%,-14.29%,-1.85%
"BRK-B","Financial",351980.94,,,,,,6.28%,8.65%,14.05%
"BSX","Healthcare",33106.89,-5.40%,0.83,71.10%,-7.70%,-4.30%,6.64%,39.99%,46.76%
"BWA","Consumer Goods",7572.30,16.70%,0.58,21.00%,11.30%,7.10%,2.52%,-0.25%,-17.08%
"BXP","Financial",21866.10,10.70%,1.80,64.40%,34.80%,23.60%,12.57%,21.18%,31.09%
"C","Financial",138529.65,6.70%,0.88,,67.00%,24.20%,4.25%,12.02%,-7.64%
"CA","Technology",14206.63,14.00%,0.36,85.40%,27.70%,18.90%,5.31%,16.67%,28.84%
"CAG","Consumer Goods",20218.91,-19.30%,1.32,27.10%,7.70%,-5.90%,1.28%,10.07%,14.45%
"CAH","Services",25391.61,21.60%,0.76,5.40%,2.00%,1.20%,-0.26%,-4.23%,0.24%
"CAT","Industrial Goods",47715.13,7.20%,1.57,27.30%,4.50%,2.60%,7.93%,11.38%,14.53%
"CBG","Financial",10031.53,19.50%,0.92,31.20%,5.90%,4.30%,-1.57%,7.94%,-7.96%
"CBS","Services",23147.56,28.40%,1.53,40.60%,18.80%,11.10%,-3.08%,1.00%,20.67%
"CCE","Consumer Goods",18506.46,57.80%,3.75,37.10%,12.00%,8.20%,-1.29%,11.08%,6.86%
"CCI","Technology",32426.01,4.70%,1.77,63.90%,22.90%,8.90%,4.23%,13.59%,21.55%
"CCL","Services",36000.03,9.50%,0.36,42.30%,18.40%,14.00%,-0.72%,0.01%,-3.53%
"CELG","Healthcare",82448.87,35.10%,2.58,95.70%,27.10%,18.90%,-2.01%,1.19%,-10.34%
"CERN","Technology",21954.44,16.10%,0.13,83.40%,19.30%,13.50%,17.34%,23.11%,6.51%
"CF","Basic Materials",6051.80,4.70%,1.39,28.40%,12.70%,4.60%,-15.55%,-27.96%,-52.57%
"CFG","Financial",12737.35,4.60%,0.59,,79.60%,22.20%,5.72%,15.86%,2.73%
"CHD","Consumer Goods",12847.79,22.70%,0.35,45.40%,20.60%,13.10%,1.70%,11.04%,17.95%
"CHK","Basic Materials",4856.02,860.90%,,61.90%,,-91.80%,44.42%,26.20%,-11.29%
"CHRW","Services",10129.58,44.60%,0.40,17.80%,6.80%,4.10%,-1.99%,0.81%,7.24%
"CI","Healthcare",32748.71,16.10%,0.36,,8.10%,5.10%,-1.12%,-8.72%,-9.46%
"CINF","Financial",12715.24,9.70%,0.12,,17.90%,12.10%,12.98%,23.01%,53.20%
"CL","Consumer Goods",66944.17,-806.30%,,59.50%,18.10%,9.00%,4.79%,12.03%,21.73%
"CLX","Consumer Goods",17089.98,296.00%,6.05,45.10%,17.10%,11.20%,2.65%,8.19%,21.45%
"CMA","Financial",8231.34,5.40%,0.77,,79.10%,22.20%,3.39%,26.00%,13.49%
"CMCSA","Services",158915.01,15.50%,0.99,70.60%,21.20%,10.70%,4.80%,13.19%,19.77%
"CME","Financial",36833.72,6.40%,0.11,,60.60%,38.20%,12.83%,17.44%,22.12%
"CMG","Services",12072.60,11.20%,0.00,25.40%,8.20%,5.20%,-8.28%,-23.47%,-43.67%
"CMI","Industrial Goods",21295.81,17.50%,0.24,25.70%,10.00%,7.00%,9.36%,22.09%,9.02%
"CMS","Utilities",11770.64,13.50%,2.07,64.10%,19.20%,8.80%,-0.06%,5.84%,34.25%
"CNC","Healthcare",11703.76,9.50%,0.66,,2.70%,1.20%,2.96%,17.48%,14.67%
"CNP","Utilities",9745.68,-20.70%,2.29,,13.20%,-10.70%,-0.78%,17.63%,32.81%
"COF","Financial",36658.19,7.90%,0.79,,66.00%,17.40%,-1.07%,4.27%,-3.73%
"COG","Basic Materials",11377.50,-9.70%,0.53,50.00%,-26.00%,-21.60%,-0.33%,9.20%,4.65%
"COH","Consumer Goods",10708.71,17.80%,0.32,68.00%,14.50%,10.30%,-0.60%,-1.81%,31.44%
"COL","Industrial Goods",11059.10,35.80%,0.66,30.70%,18.40%,13.50%,-3.48%,-3.76%,5.24%
"COP","Basic Materials",50940.98,-17.60%,0.73,33.20%,-39.20%,-29.30%,-9.57%,0.00%,-12.23%
"COST","Services",69323.99,21.30%,0.34,13.20%,3.10%,2.00%,4.05%,7.22%,13.69%
"CPB","Consumer Goods",17564.93,36.60%,1.40,35.30%,11.60%,7.10%,-5.57%,-6.08%,21.56%
"CRM","Technology",51429.23,4.10%,0.29,74.70%,1.90%,2.90%,-9.33%,6.54%,10.04%
"CSC","Technology",6688.62,,1.29,26.10%,,,-4.39%,61.44%,201.01%
"CSCO","Technology",160136.73,17.40%,0.39,62.90%,25.70%,21.80%,10.38%,19.43%,27.14%
"CSX","Services",26657.87,15.30%,0.85,73.10%,29.60%,16.10%,6.87%,11.67%,5.98%
"CTAS","Services",12265.48,36.70%,0.57,43.40%,15.90%,14.10%,24.85%,35.15%,41.27%
"CTL","Technology",15145.16,6.90%,1.30,56.60%,15.40%,5.50%,4.89%,-8.54%,12.59%
"CTSH","Technology",35372.00,16.10%,0.09,40.10%,17.30%,11.70%,-3.30%,2.39%,-7.16%
"CTXS","Technology",13591.50,18.70%,0.59,81.30%,13.00%,11.60%,1.01%,15.54%,28.16%
"CVS","Healthcare",100408.80,13.20%,0.74,16.60%,5.40%,2.90%,-2.14%,-3.84%,-6.10%
"CVX","Basic Materials",189047.95,-0.50%,0.27,41.30%,-6.10%,-0.70%,0.81%,13.68%,35.00%
"CXO","Basic Materials",18373.10,-17.60%,0.56,67.50%,-96.50%,-72.40%,9.11%,30.00%,23.56%
"D","Utilities",46344.25,14.70%,1.74,96.60%,31.00%,17.40%,3.69%,6.98%,14.10%
"DAL","Services",28174.86,43.30%,0.57,61.00%,19.60%,11.90%,-9.46%,-22.52%,-16.30%
"DD","Basic Materials",61329.66,21.80%,0.80,40.60%,10.50%,8.90%,2.51%,9.55%,41.93%
"DE","Industrial Goods",26416.92,22.80%,3.25,30.90%,11.10%,5.90%,-3.20%,-0.42%,7.01%
"DFS","Financial",24056.02,20.90%,2.28,,63.90%,27.30%,5.29%,24.57%,17.47%
"DG","Services",20786.95,22.90%,0.47,31.00%,9.60%,5.90%,-19.09%,-1.13%,2.83%
"DGX","Healthcare",11625.60,17.90%,0.85,38.70%,20.70%,11.00%,7.30%,20.53%,26.86%
"DHI","Industrial Goods",11749.44,13.60%,0.51,21.50%,10.90%,7.30%,2.39%,12.87%,2.14%
"DHR","Industrial Goods",56237.88,14.60%,0.48,52.80%,16.70%,15.90%,8.14%,19.07%,24.05%
"DIS","Services",151485.56,20.90%,0.34,46.40%,25.80%,16.50%,-3.72%,-4.31%,-6.15%
"DISCA","Services",10005.19,14.20%,1.46,62.80%,31.20%,11.90%,-10.35%,-7.73%,-4.54%
"DISCK","Services",6109.21,,,,,,-8.93%,-7.42%,-2.94%
"DLPH","Consumer Goods",19175.36,55.50%,1.67,19.90%,10.00%,8.10%,4.37%,0.25%,-2.63%
"DLR","Financial",14697.08,2.20%,2.05,63.60%,19.20%,3.40%,1.30%,23.71%,65.68%
"DLTR","Services",19602.32,15.80%,1.50,30.00%,7.20%,3.50%,-8.29%,8.19%,24.04%
"DNB","Technology",5021.74,-16.50%,,67.70%,18.60%,11.00%,8.16%,40.24%,34.20%
"DO","Basic Materials",2264.71,-15.00%,0.55,50.10%,-33.30%,-30.20%,-36.36%,-29.46%,-28.52%
"DOV","Industrial Goods",11259.52,14.90%,0.70,37.20%,12.20%,8.00%,4.85%,12.93%,25.54%
"DOW","Basic Materials",60623.63,36.50%,0.84,23.30%,23.10%,17.50%,1.96%,10.88%,31.27%
"DPS","Consumer Goods",17541.22,38.50%,1.36,59.80%,21.80%,13.00%,2.91%,5.92%,25.63%
"DRI","Services",7884.75,18.10%,0.23,22.30%,9.00%,5.40%,-6.61%,-2.71%,-6.94%
"DTE","Utilities",16682.80,8.40%,1.06,,12.20%,7.50%,1.45%,9.90%,26.30%
"DUK","Utilities",55285.36,6.60%,1.00,70.00%,22.40%,11.40%,1.53%,7.42%,20.94%
"DVA","Healthcare",13281.20,7.50%,1.89,28.50%,10.10%,2.50%,-15.87%,-8.67%,-14.13%
"DVN","Basic Materials",22881.39,-169.70%,2.55,83.00%,,,18.07%,85.30%,11.20%
"EA","Technology",25121.46,34.80%,0.27,69.50%,21.20%,25.90%,9.11%,31.25%,26.86%
"EBAY","Services",36275.29,29.90%,1.40,78.40%,27.10%,22.00%,34.56%,33.06%,19.38%
"ECL","Consumer Goods",36272.22,14.20%,0.77,47.50%,11.50%,7.20%,3.57%,17.81%,15.39%
"ED","Utilities",22794.95,8.60%,0.99,74.70%,19.70%,9.50%,1.54%,7.25%,26.75%
"EFX","Financial",15991.87,19.30%,0.98,65.50%,26.20%,16.10%,6.90%,27.13%,37.98%
"EIX","Utilities",24026.20,7.70%,0.94,62.40%,15.70%,7.90%,2.24%,8.91%,31.53%
"EL","Consumer Goods",32530.27,30.80%,0.53,80.60%,14.30%,9.90%,-3.38%,-1.55%,14.58%
"EMC","Technology",56474.36,9.80%,0.25,61.30%,12.50%,8.50%,3.30%,9.50%,21.18%
"EMN","Basic Materials",10136.12,21.60%,1.39,26.50%,14.90%,9.60%,-6.63%,-1.30%,-1.31%
"EMR","Industrial Goods",33888.85,23.70%,0.51,40.20%,13.80%,9.00%,-0.19%,3.75%,18.34%
"ENDP","Healthcare",4506.67,-15.60%,1.31,30.50%,-31.70%,-25.90%,10.36%,-55.54%,-73.38%
"EOG","Basic Materials",48759.14,-40.40%,0.58,46.60%,,-72.00%,9.62%,18.30%,15.81%
"EQIX","Technology",26069.06,1.90%,1.36,50.60%,17.10%,2.10%,1.07%,26.00%,43.80%
"EQR","Financial",23545.64,39.10%,0.77,67.20%,37.00%,,2.30%,-8.55%,5.77%
"EQT","Basic Materials",12393.26,-6.40%,0.46,76.80%,1.00%,-18.50%,-3.01%,16.96%,-4.15%
"ES","Utilities",17278.02,8.30%,0.90,,23.70%,11.60%,-2.60%,-2.30%,21.05%
"ESRX","Healthcare",45794.50,16.70%,0.77,8.40%,4.50%,2.60%,-4.55%,2.39%,-13.50%
"ESS","Financial",14859.04,4.40%,0.92,69.90%,29.90%,21.70%,8.36%,2.69%,9.38%
"ETFC","Financial",7335.30,3.80%,0.24,93.60%,23.50%,15.10%,-2.65%,4.17%,3.40%
"ETN","Industrial Goods",30865.78,12.20%,0.50,31.90%,11.20%,9.30%,8.74%,16.51%,26.84%
"ETR","Utilities",14120.47,1.90%,1.35,86.80%,-2.50%,1.60%,1.90%,9.17%,31.39%
"EW","Healthcare",24666.78,21.80%,0.24,74.30%,24.40%,19.30%,14.19%,32.76%,68.45%
